make,model,mileage_mi,manufacture_year,engine_displacement,engine_power,body_type,transmission,door_count,seat_count,fuel_type,priceUSD,country,exterior_color,city
honda,jazz,9.315,2014,1198,66,other,M,4,5,,12387.6,EU,NA,NA
mitsubishi,eclipse,108103.68,2001,1997,100,other,M,2,4,,4857.084000000001,EU,NA,NA
skoda,superb,9904.95,2015,1968,140,,A,4,5,diesel,32636.466000000004,EU,NA,NA
ford,mondeo,157734,2001,1999,107,,M,4,5,gasoline,1393.4052000000001,EU,NA,NA
skoda,rapid,6768.9,2015,1197,66,coupe,M,5,5,gasoline,1398.9672,EU,NA,NA
fiat,seicento,73588.5,2001,1108,40,other,M,3,5,,1620,EU,NA,NA
fiat,punto,9.315,2015,1368,57,other,M,5,5,,13392,EU,NA,NA
toyota,auris,13293.126,2013,1798,73,,A,4,5,gasoline,18894.8052,EU,NA,NA
hyundai,i20,25513.164,2012,1396,74,other,A,5,5,,11826,EU,NA,NA
citroen,c3-picasso,1.863,2017,1360,70,van,M,5,5,gasoline,1398.9672,EU,NA,NA
volkswagen,golf,44712,2011,1984,199,other,M,2,5,,23544,EU,NA,NA
ford,s-max,77004,2011,1560,85,transporter,M,5,5,diesel,15660.000000000002,EU,NA,NA
ford,mondeo,59419.143,2011,2000,103,compact,M,None,NA,diesel,9672.8364,EU,NA,NA
volkswagen,golf,17636.4,2014,1395,110,other,M,5,5,,17928,EU,NA,NA
skoda,octavia,108440.883,2005,1900,77,,M,5,5,diesel,3997.0368000000003,EU,NA,NA
volvo,v40,145935,2002,1870,85,,M,4,5,diesel,1382.6160000000002,EU,NA,NA
citroen,berlingo,82485.567,2003,1400,55,other,M,5,5,gasoline,1398.9672,EU,NA,NA
opel,astra,931.5,2016,999,77,other,M,4,5,,15440.8464,EU,NA,NA
citroen,jumper,33161.4,2011,2198,96,other,M,4,9,,18349.2,EU,NA,NA
opel,zafira,143939.106,2007,1910,88,other,M,,NA,,1398.9672,EU,NA,NA
opel,astra,115144.578,2008,1800,103,,A,4,5,gasoline,6395.2632,EU,NA,NA
skoda,superb,74225.646,2014,1968,103,stationwagon,M,,NA,diesel,1398.9672,EU,NA,NA
opel,meriva,0,2016,1364,88,,A,None,5,gasoline,16718.5728,EU,NA,NA
chevrolet,matiz,46575,2009,796,38,other,M,4,5,,3996.0000000000005,EU,NA,NA
volkswagen,touran,66447,2004,1598,85,other,A,4,5,,6469.200000000001,EU,NA,NA
ford,ka,67068,1998,1299,44,coupe,M,5,5,gasoline,1398.9672,EU,NA,NA
nissan,qashqai,3105,2016,1598,96,other,M,5,5,,25812,EU,NA,NA
citroen,c5,57007.8,2012,2200,150,,A,None,5,diesel,16154.758800000001,EU,NA,NA
bmw,x5,621,2015,2000,263,other,A,5,NA,,99252,EU,NA,NA
skoda,fabia,62140.986,2012,1200,63,other,M,5,5,,7474.464000000001,EU,NA,NA
fiat,panda,0,2015,1248,69,other,M,5,4,,16929,EU,NA,NA
opel,astra,50450.04,2011,1796,103,other,A,2,4,,11876.684400000002,EU,NA,NA
fiat,panda,3.105,2014,1248,55,other,M,4,4,,17172,EU,NA,NA
skoda,fabia,42454.665,2002,1200,40,,M,5,5,gasoline,1598.8104000000003,EU,NA,NA
citroen,c4-picasso,36018,2012,1560,82,other,M,5,5,,14029.2,EU,NA,NA
seat,altea,65012.49,2007,1896,77,,M,4,5,diesel,6697.004400000001,EU,NA,NA
skoda,octavia,83387.88,2008,1968,103,other,M,5,5,,1398.9672,EU,NA,NA
hyundai,ix35,51543,2011,1998,120,,M,4,5,gasoline,12853.922400000001,EU,NA,NA
peugeot,206,125505.963,2000,1997,101,other,M,3,5,,1782.0000000000002,EU,NA,NA
mitsubishi,eclipse,144693,1999,1997,104,,M,2,4,gasoline,2376.0756,EU,NA,NA
skoda,fabia,113970.26699999999,2011,1600,55,,M,5,5,diesel,5995.5552,EU,NA,NA
peugeot,508,88803,2012,1997,103,other,M,4,5,,12852,EU,NA,NA
audi,a3,57132,2009,1395,92,other,M,4,5,,12733.2,EU,NA,NA
citroen,ds3,2235.6,2015,1199,60,,M,2,4,gasoline,16741.242000000002,EU,NA,NA
skoda,octavia,6.21,2016,1395,110,other,M,5,5,,21913.2,EU,NA,NA
bmw,x1,16194.438,2012,1995,135,,A,4,5,diesel,25822.551600000003,EU,NA,NA
ford,focus,73202.238,2010,1600,66,other,M,5,5,,1398.9672,EU,NA,NA
bmw,x1,42601.221,2012,1995,105,other,M,5,5,,23652,EU,NA,NA
audi,a3,4909.005,2015,1968,110,,A,2,5,diesel,24488.460000000003,EU,NA,NA
volvo,v50,53095.5,2007,1998,100,other,M,4,5,,11727.309600000002,EU,NA,NA
peugeot,206,67068,2006,1360,55,other,M,4,5,,3229.2000000000003,EU,NA,NA
audi,200,96255,2009,1968,100,,M,4,5,diesel,11879.3628,EU,NA,NA
skoda,octavia,140259.06,2002,1800,110,compact,A,None,NA,gasoline,3557.3688,EU,NA,NA
opel,corsa,0,2016,1200,51,other,M,5,NA,,14914.800000000001,EU,NA,NA
opel,astra,621,2015,1364,103,,M,4,5,gasoline,20866.064400000003,EU,NA,NA
toyota,aygo,24219,2012,998,50,other,M,5,4,,7441.200000000001,EU,NA,NA
opel,combo,61851.6,2009,1248,55,other,M,2,2,,4759.754400000001,EU,NA,NA
renault,megane,121586.211,2009,1461,76,other,M,5,2,,4266,EU,NA,NA
chevrolet,cruze,60263.082,2011,2000,120,other,M,4,5,,7714.2888,EU,NA,NA
renault,laguna,129789,2005,1995,110,other,M,5,5,,3157.6608000000006,EU,NA,NA
citroen,c4-picasso,8408.961,2015,1560,85,,A,4,7,diesel,19967.850000000002,EU,NA,NA
nissan,x-trail,103365.45,2010,1994,110,other,M,4,5,,9069.602400000002,EU,NA,NA
peugeot,207,55890,2006,1360,65,other,M,3,5,,5400,EU,NA,NA
ford,focus,4936.95,2015,998,74,,M,4,5,gasoline,13569.552,EU,NA,NA
citroen,jumpy,74836.08899999999,2012,1997,94,other,M,4,8,,16189.2,EU,NA,NA
hyundai,coupe,102914.604,2003,1599,77,coupe,M,3,4,lpg,1398.9672,EU,NA,NA
lexus,ls-430,134446.5,2001,4293,207,other,A,4,5,,8164.8756,EU,NA,NA
audi,a1,12713.733,2015,1395,92,other,M,2,5,,19747.800000000003,EU,NA,NA
nissan,qashqai,80605.8,2008,1995,110,other,A,4,5,,12420,EU,NA,NA
nissan,pulsar,65.826,2015,1197,85,,A,4,5,gasoline,17869.9284,EU,NA,NA
volkswagen,golf,7638.3,2014,1395,110,other,A,4,5,,20871.4644,EU,NA,NA
suzuki,swift,24219,2012,1586,100,other,M,2,4,,7009.4484,EU,NA,NA
opel,corsa,32602.5,2010,1229,59,other,M,3,5,,5929.200000000001,EU,NA,NA
fiat,idea,117369,2006,1242,59,other,M,5,5,,3238.92,EU,NA,NA
skoda,octavia,91544.715,2010,1600,77,other,M,5,5,,7434.493200000001,EU,NA,NA
volkswagen,touran,146859.048,2006,1968,103,van,M,5,7,diesel,1398.9672,EU,NA,NA
volkswagen,polo,70949.25,2008,1198,44,other,M,4,5,,5290.92,EU,NA,NA
fiat,panda,43815.276,2012,12124,51,other,M,,NA,,1398.9672,EU,NA,NA
opel,corsa,7203.6,2014,1229,51,,M,4,5,gasoline,10260.756000000001,EU,NA,NA
peugeot,807,172507.59,2003,1997,79,van,M,5,6,diesel,1398.9672,EU,NA,NA
hyundai,santa-fe,6831,2016,2199,147,offroad,A,5,7,diesel,1398.9672,EU,NA,NA
honda,accord,130410,2004,1998,114,other,A,4,5,,5400,EU,NA,NA
suzuki,sx4,11590.344,2006,1586,79,other,M,4,5,,8638.92,EU,NA,NA
audi,q3,2920.563,2014,1968,103,,A,5,5,diesel,35618.4,EU,NA,NA
volkswagen,passat,52348.437,2011,1968,103,other,A,4,5,,23990.04,EU,NA,NA
volkswagen,passat,187542,2005,2000,103,other,M,,NA,,1398.9672,EU,NA,NA
skoda,superb,7523.415,2015,1598,77,other,A,5,5,,27972.000000000004,EU,NA,NA
citroen,c1,9.315,2016,998,51,other,M,5,4,,12852,EU,NA,NA
opel,astra,46575,2008,1364,66,,M,2,5,gasoline,6471.1224,EU,NA,NA
opel,corsa,49680,2009,1229,59,,M,2,5,gasoline,6048.4428,EU,NA,NA
citroen,ds5,5775.3,2015,1997,100,,M,None,5,diesel,25056.918,EU,NA,NA
ford,fiesta,63963,2007,1299,44,other,M,5,5,,3456,EU,NA,NA
ford,focus,39433.5,2012,998,74,,M,4,5,gasoline,8525.919600000001,EU,NA,NA
ford,focus,104017.5,2004,1596,74,other,M,5,5,,2268,EU,NA,NA
ford,focus,49680,2013,1560,70,,M,4,5,diesel,12156.75,EU,NA,NA
ford,b-max,14904,2013,1000,88,,M,None,NA,gasoline,12831.339600000001,EU,NA,NA
volkswagen,sharan,121902.3,2003,1900,85,other,M,,NA,,4618.782,EU,NA,NA
nissan,qashqai,10619.1,2015,1461,81,other,M,5,5,,21384,EU,NA,NA
audi,a3,59181.3,2011,1968,103,,M,2,5,diesel,13829.119200000001,EU,NA,NA
skoda,roomster,51842.943,2011,6201,63,other,M,,NA,,1398.9672,EU,NA,NA
ford,focus,90045,2005,1560,80,,M,5,5,diesel,3477.4272000000005,EU,NA,NA
ford,focus,121095,1999,1753,66,,M,5,5,diesel,675.4968000000001,EU,NA,NA
ford,ka,107433,1998,1297,37,,M,2,4,gasoline,324.04320000000007,EU,NA,NA
skoda,fabia,163550.907,2002,1397,50,stationwagon,M,5,5,gasoline,1398.9672,EU,NA,NA
opel,corsa,137241,2004,1199,55,,M,2,5,gasoline,1296.0432,EU,NA,NA
ford,focus,110063.556,2009,1560,74,stationwagon,M,5,5,diesel,1398.9672,EU,NA,NA
bmw,x1,172638,2011,1995,130,,A,4,5,diesel,17064.2052,EU,NA,NA
hyundai,i30,10432.179,2014,1396,73,,M,5,5,gasoline,13384.44,EU,NA,NA
volkswagen,up,12.42,2015,999,44,other,M,5,4,,11264.400000000001,EU,NA,NA
renault,captur,21735,2012,898,66,other,M,5,NA,,11869.2,EU,NA,NA
honda,civic,0,2016,1798,104,other,M,5,NA,,21589.2,EU,NA,NA
audi,a3,107433,2003,1968,103,other,M,3,5,,5398.92,EU,NA,NA
citroen,c4-picasso,24902.1,2012,1560,82,,M,None,5,diesel,13294.5948,EU,NA,NA
audi,a3,7886.7,2015,1598,81,other,A,4,4,,22950.4752,EU,NA,NA
skoda,fabia,135999,2008,1400,51,other,M,,NA,,1398.9672,EU,NA,NA
opel,zafira,72.657,1999,1796,85,other,M,5,7,,1080,EU,NA,NA
skoda,octavia,94081.5,2009,1968,125,other,A,4,5,,10259.438400000001,EU,NA,NA
volkswagen,amarok,65819.79,2013,1968,132,other,A,4,5,,28058.4,EU,NA,NA
audi,a4,142829.379,2008,2698,140,other,A,4,5,,10813.3056,EU,NA,NA
renault,megane,35210.7,2009,1598,81,other,M,5,5,,1398.9672,EU,NA,NA
opel,zafira,5051.835,2015,1956,125,other,M,4,7,,21010.6008,EU,NA,NA
audi,a1,3042.9,2014,1197,63,,M,2,3,gasoline,16741.274400000002,EU,NA,NA
audi,a5,65205,2011,2698,140,other,A,5,4,,22680,EU,NA,NA
toyota,auris,10774.35,2014,1998,91,,M,None,NA,diesel,17363.5812,EU,NA,NA
skoda,octavia,115382.421,2009,2000,147,other,M,5,5,,9992.6028,EU,NA,NA
opel,adam,7141.5,2014,1398,74,other,M,2,4,,14038.92,EU,NA,NA
audi,a3,652.05,2016,1968,110,other,A,4,NA,,28609.2,EU,NA,NA
mini,cooper,80720.685,2007,1598,88,,M,2,4,gasoline,9508.5576,EU,NA,NA
toyota,verso,69552,2011,1998,93,,M,4,5,diesel,11718.4428,EU,NA,NA
nissan,gt-r,21735,2013,3799,404,other,A,2,4,,80892,EU,NA,NA
bmw,x1,87179.706,2012,1995,135,,M,4,5,diesel,15347.232,EU,NA,NA
volkswagen,golf,55024.326,2004,1598,85,other,M,4,5,,4753.9224,EU,NA,NA
fiat,punto,80730,2005,1251,51,other,M,5,5,,1825.2,EU,NA,NA
audi,a4,123971.472,2006,1968,125,other,M,4,5,,8629.2,EU,NA,NA
ford,c-max,83214,2011,1560,70,other,M,5,5,,11772,EU,NA,NA
mazda,2,9159.75,2011,1598,77,,M,4,5,gasoline,12194.571600000001,EU,NA,NA
volkswagen,passat,107736.669,2012,1600,77,other,M,5,5,,11671.354800000001,EU,NA,NA
mitsubishi,space,15525,2014,999,52,other,M,5,5,,8100.000000000001,EU,NA,NA
opel,astra,94019.4,2001,1598,62,other,M,2,5,,2108.4732,EU,NA,NA
renault,kadjar,3726,2015,1598,96,other,M,,5,,1398.9672,EU,NA,NA
kia,sportage,41398.965,2005,2656,129,other,A,5,NA,,9666,EU,NA,NA
nissan,qashqai,10853.838,2015,1500,81,other,M,,NA,,21384,EU,NA,NA
nissan,evalia,17983.539,2015,1461,81,other,M,5,5,,19299.600000000002,EU,NA,NA
chrysler,pt-cruiser,96876,2008,2148,110,coupe,M,5,5,diesel,1398.9672,EU,NA,NA
volkswagen,golf,116127,2000,1896,85,other,M,3,5,,1728,EU,NA,NA
nissan,qashqai,10278.792,2012,1995,110,other,A,5,5,,19418.4,EU,NA,NA
audi,a1,20493,2013,1197,63,other,M,3,4,,14472.000000000002,EU,NA,NA
lexus,rx-450h,47027.087999999996,2012,3456,220,other,A,4,5,,35038.8504,EU,NA,NA
hyundai,getz,68310,2007,1399,71,other,M,3,5,,3780.0000000000005,EU,NA,NA
volkswagen,passat,22708.107,2012,1598,77,other,M,4,5,,18468,EU,NA,NA
fiat,doblo,115161.966,2010,1598,77,other,M,5,5,,6990.8184,EU,NA,NA
ford,galaxy,62.1,2000,1900,81,compact,M,None,NA,gasoline,1558.8504000000003,EU,NA,NA
citroen,c3,65205,2012,1398,50,coupe,M,5,5,diesel,1398.9672,EU,NA,NA
peugeot,207,31050,2008,1360,54,other,M,3,5,,4644,EU,NA,NA
fiat,grande-punto,85759.479,2006,1368,57,other,M,3,5,,4158,EU,NA,NA
opel,corsa,122274.9,2006,998,44,,M,4,5,gasoline,2691.4032,EU,NA,NA
skoda,fabia,104405.004,2005,1200,40,sedan,M,4,5,gasoline,1398.9672,EU,NA,NA
skoda,fabia,143516.205,2010,1198,51,other,M,4,5,,4867.9164,EU,NA,NA
volkswagen,passat,146727.396,2001,9200,96,other,M,,NA,,2877.8652,EU,NA,NA
renault,master,29334.177,2015,2298,92,other,M,4,4,,20271.600000000002,EU,NA,NA
toyota,aygo,12215.07,2012,998,50,other,M,5,4,,7873.200000000001,EU,NA,NA
skoda,fabia,33714.09,2015,1000,44,other,M,5,5,,1398.9672,EU,NA,NA
seat,ibiza,56108.592,2011,1200,77,,M,5,5,gasoline,7354.551600000001,EU,NA,NA
toyota,camry,201825,2002,2995,137,,A,4,5,gasoline,3132.1188,EU,NA,NA
audi,a4,4347,2008,2000,125,other,A,,NA,,1398.9672,EU,NA,NA
volkswagen,tiguan,26330.4,2011,1984,132,other,A,5,5,,20487.600000000002,EU,NA,NA
opel,corsa,106812,2007,1229,59,other,M,4,5,,3132.1188,EU,NA,NA
volkswagen,amarok,52785,2011,1968,120,other,M,4,5,,25866,EU,NA,NA
skoda,octavia,66447,2013,1598,77,coupe,M,5,5,diesel,1398.9672,EU,NA,NA
ford,mondeo,104328,2011,1997,120,,A,5,5,diesel,13789.785600000001,EU,NA,NA
volkswagen,polo,48351.681,2013,1197,66,other,A,4,5,,11315.7756,EU,NA,NA
hyundai,i30,683.1,2016,1598,99,other,M,5,5,,1558.8504000000003,EU,NA,NA
seat,ibiza,67356.765,2011,1198,51,other,M,2,4,,4982.4288,EU,NA,NA
ford,kuga,81723.6,2009,1997,100,,M,4,5,diesel,13490.2044,EU,NA,NA
nissan,micra,80730,2005,1240,59,other,M,5,5,,2808,EU,NA,NA
skoda,octavia,107701.893,2003,1900,74,,M,5,5,diesel,4037.0076,EU,NA,NA
volvo,v70,395639.1,1999,2435,103,,M,4,5,gasoline,745.2864000000001,EU,NA,NA
volvo,xc60,22218.138,2015,2400,140,offroad,A,5,5,diesel,1398.9672,EU,NA,NA
ford,focus,12996.909,2014,2000,184,other,M,5,5,,24829.2,EU,NA,NA
ford,transit,100602,2001,1998,55,other,M,4,3,,2473.2864,EU,NA,NA
seat,alhambra,20555.1,2012,1400,110,,M,4,7,gasoline,26448.174000000003,EU,NA,NA
skoda,octavia,89241.426,2008,1968,103,stationwagon,M,5,5,diesel,1398.9672,EU,NA,NA
skoda,roomster,75389.4,2008,1598,77,other,M,5,5,,1398.9672,EU,NA,NA
toyota,verso,18370.422,2014,1598,82,,M,None,NA,diesel,16646.1912,EU,NA,NA
jeep,renegade,0,2015,1598,88,other,M,5,5,,25369.2,EU,NA,NA
jeep,cherokee,89424,2007,2776,120,,A,None,5,diesel,10045.123200000002,EU,NA,NA
porsche,panamera,24840,2013,4806,324,,A,4,4,gasoline,84324.85560000001,EU,NA,NA
renault,master,22356,2012,2300,110,other,M,,3,,31298.4,EU,NA,NA
volkswagen,tiguan,5578.443,2015,1998,110,other,A,4,5,,37659.600000000006,EU,NA,NA
seat,altea,59771.25,2008,1900,77,other,M,5,5,,7394.5224,EU,NA,NA
citroen,c4,69738.3,2007,1560,80,other,M,5,7,,4860,EU,NA,NA
volkswagen,passat-cc,129789,2010,2000,103,other,M,,NA,,1398.9672,EU,NA,NA
toyota,avensis,117990,1999,1998,94,other,M,5,5,,1836.0000000000002,EU,NA,NA
skoda,octavia,106812,2010,1600,77,compact,M,None,NA,diesel,8953.372800000001,EU,NA,NA
chevrolet,captiva,142658.604,2007,3195,168,,A,4,7,gasoline,6372.2376,EU,NA,NA
opel,mokka,6.21,2016,1598,85,other,M,5,5,,22669.2,EU,NA,NA
ford,kuga,61938.54,2009,2000,100,offroad,M,5,5,diesel,1398.9672,EU,NA,NA
kia,venga,34962.3,2010,1591,92,other,M,5,NA,,10692,EU,NA,NA
ford,focus,55890,2008,1596,74,other,A,5,5,,7560.000000000001,EU,NA,NA
skoda,superb,59522.85,2011,1968,103,,M,5,5,diesel,14749.074,EU,NA,NA
fiat,500,22356,2007,1368,74,other,M,2,4,,7549.200000000001,EU,NA,NA
volkswagen,golf,6196.959,2015,1598,77,other,M,4,5,,16324.351200000001,EU,NA,NA
opel,antara,0,2015,2231,120,,M,None,5,diesel,19167.4836,EU,NA,NA
volkswagen,passat,127115.595,2009,1968,103,other,A,,NA,diesel,1398.9672,EU,NA,NA
ford,focus,105570,2000,1388,55,other,M,5,5,,1458,EU,NA,NA
citroen,c3,100.602,2007,1124,44,,M,4,5,gasoline,2701.0044,EU,NA,NA
volkswagen,golf,4409.1,2015,1197,63,other,M,4,5,,16686,EU,NA,NA
skoda,rapid,7135.29,2015,1197,63,,M,4,5,gasoline,11737.029600000002,EU,NA,NA
mazda,2,153929.754,2005,2500,57,other,M,,5,,5403.5964,EU,NA,NA
volkswagen,tiguan,7084.989,2015,1968,103,other,M,5,5,,28564.920000000002,EU,NA,NA
audi,a3,24219,2013,1968,110,,M,4,5,diesel,24624.918,EU,NA,NA
ford,c-max,76693.5,1235,1560,85,other,M,,NA,diesel,1398.9672,EU,NA,NA
skoda,octavia,10982.385,2016,1598,77,coupe,M,5,5,diesel,1398.9672,EU,NA,NA
ford,transit,54895.158,2012,2200,74,,M,4,3,diesel,9992.6028,EU,NA,NA
alfa-romeo,159,53859.33,2008,1900,88,other,M,4,5,,1398.9672,EU,NA,NA
volkswagen,golf,10837.692,2014,1197,77,other,M,5,5,,28333.497600000002,EU,NA,NA
skoda,fabia,27212.22,2011,1198,44,,M,5,NA,gasoline,5955.584400000001,EU,NA,NA
toyota,aygo,28134.405,2012,998,50,other,M,5,4,,6802.92,EU,NA,NA
volkswagen,golf,104949,2011,1598,77,other,A,5,5,,9990,EU,NA,NA
citroen,berlingo,11792.789999999999,2014,1560,84,,M,4,5,diesel,14514.0876,EU,NA,NA
suzuki,grand-vitara,32343.543,2014,2393,124,other,M,4,5,,15533.37,EU,NA,NA
smart,fortwo,83214,2003,698,45,other,A,2,2,,3564.0000000000005,EU,NA,NA
bmw,i3,2021.9759999999999,2015,600,125,other,A,5,NA,,49642.200000000004,EU,NA,NA
volkswagen,touran,64110.176999999996,2007,1968,103,other,M,5,7,,10789.2,EU,NA,NA
suzuki,vitara,14904,2015,1586,88,other,M,4,5,,17198.5356,EU,NA,NA
ford,c-max,80605.8,2008,1560,80,other,M,4,5,,6701.9508000000005,EU,NA,NA
audi,a6,57690.9,2012,2967,180,other,A,4,5,,34452,EU,NA,NA
volvo,v60,123246.144,2012,2400,158,other,M,5,NA,,13489.2,EU,NA,NA
citroen,berlingo,3.105,2015,1598,88,,M,4,5,diesel,15878.635200000002,EU,NA,NA
audi,q7,737127,2011,3000,176,other,A,,NA,,1398.9672,EU,NA,NA
citroen,c4,50524.56,2012,1560,82,other,A,5,NA,,15552.000000000002,EU,NA,NA
nissan,qashqai,26703,2012,1598,84,other,M,5,7,,16200.000000000002,EU,NA,NA
bmw,x5,57682.827,2012,2993,225,other,A,4,5,,42012,EU,NA,NA
volvo,v70,152145,2007,2400,136,other,A,4,5,,8208,EU,NA,NA
skoda,fabia,15835.5,2013,1197,63,,M,4,5,gasoline,12365.3628,EU,NA,NA
hyundai,i30,3974.4,2016,1591,88,other,M,5,5,,14988.8988,EU,NA,NA
ford,b-max,9.315,2015,998,74,,M,4,5,gasoline,14514.0876,EU,NA,NA
porsche,panamera,58930.416,2011,4806,294,,A,4,4,gasoline,51277.935600000004,EU,NA,NA
mazda,cx-5,13404.285,2015,2191,129,,A,4,5,diesel,27645.278400000003,EU,NA,NA
renault,megane,108581.85,2003,1870,88,other,M,4,5,,1835.1252000000002,EU,NA,NA
skoda,fabia,141159.51,2002,1397,50,,M,5,5,gasoline,2390.2344,EU,NA,NA
kia,carens,94940.96399999999,2003,1991,83,other,M,4,5,,2698.92,EU,NA,NA
renault,grand-scenic,130410,2008,1598,82,other,M,5,5,,1398.9672,EU,NA,NA
jaguar,xf,32229.9,2013,2179,120,other,A,4,NA,,31050.000000000004,EU,NA,NA
fiat,qubo,119604.6,1926,1300,50,compact,M,None,NA,gasoline,4356.774,EU,NA,NA
volkswagen,polo,40986,2012,1598,66,other,M,5,5,,12420,EU,NA,NA
audi,a6-allroad,112090.5,2010,2967,176,stationwagon,A,5,5,diesel,1398.9672,EU,NA,NA
opel,corsa,8694,2015,1248,70,other,M,5,5,,14038.92,EU,NA,NA
volkswagen,phaeton,55827.9,2011,2967,176,other,A,4,5,,20389.4928,EU,NA,NA
peugeot,207,25212.6,2011,1598,88,other,M,2,4,,12636,EU,NA,NA
volkswagen,touran,5216.4,2015,1968,140,other,A,5,7,,40705.200000000004,EU,NA,NA
audi,a6,124200,1999,4200,110,compact,M,None,NA,gasoline,1398.9672,EU,NA,NA
peugeot,308,15270.39,2015,1997,110,other,A,5,5,,29592.000000000004,EU,NA,NA
toyota,corolla,39215.529,2003,1598,81,other,A,4,5,,6434.5536,EU,NA,NA
skoda,octavia,28069.2,2012,1197,77,other,M,5,5,,15044.400000000001,EU,NA,NA
mitsubishi,colt,11736.9,2008,1332,70,,M,4,5,gasoline,6697.004400000001,EU,NA,NA
opel,corsa,3.726,2016,1248,51,coupe,M,5,5,gasoline,1398.9672,EU,NA,NA
audi,a3,7762.5,2015,1598,81,,M,4,4,diesel,22580.834400000003,EU,NA,NA
volkswagen,golf,91908,2006,1984,147,coupe,A,5,5,gasoline,1398.9672,EU,NA,NA
jeep,renegade,0,2017,1598,81,offroad,M,5,5,gasoline,1398.9672,EU,NA,NA
toyota,avensis,49734.027,2011,1987,112,,A,4,5,gasoline,16070.8536,EU,NA,NA
opel,astra,13351.5,2015,1598,81,other,M,5,4,,17172,EU,NA,NA
ford,c-max,84809.97,2009,1600,66,compact,M,None,NA,diesel,5755.7412,EU,NA,NA
skoda,octavia,311.121,2015,1968,135,,M,4,5,diesel,26949.996000000003,EU,NA,NA
skoda,fabia,44091,2009,1390,63,,M,4,5,gasoline,7488.8172,EU,NA,NA
fiat,500l,3601.8,2015,1368,70,other,M,5,5,,13986.000000000002,EU,NA,NA
audi,a3,3545.2889999999998,2015,1395,110,other,M,2,4,,30099.600000000002,EU,NA,NA
hyundai,ix35,53477.415,2012,1998,120,other,A,5,NA,,21384,EU,NA,NA
volkswagen,golf-sportsvan,12.42,2015,1197,81,other,M,4,5,,20617.2,EU,NA,NA
renault,scenic,108675,2004,1900,89,other,A,,NA,diesel,1398.9672,EU,NA,NA
volkswagen,passat,97869.6,2013,1968,103,other,M,5,5,,12852,EU,NA,NA
skoda,fabia,107079.03,2002,1400,55,other,M,5,5,,1398.9672,EU,NA,NA
ford,transit,126843.597,2001,2402,88,other,M,4,6,,3177.3276,EU,NA,NA
skoda,citigo,7396.11,2014,999,55,,M,None,NA,gasoline,8543.1564,EU,NA,NA
peugeot,3008,39257.757,2012,1598,115,other,A,5,5,,21546,EU,NA,NA
volvo,s60,114885,2009,2400,120,,M,4,5,diesel,7450.92,EU,NA,NA
volvo,v50,121716,2007,1560,80,,M,None,5,diesel,5292,EU,NA,NA
jeep,cherokee,124352.145,1999,2499,85,other,M,5,5,,3557.3688,EU,NA,NA
opel,insignia,81089.559,2010,2000,96,other,M,5,5,,1398.9672,EU,NA,NA
subaru,outback,104328,1999,2457,115,other,M,5,5,,5173.200000000001,EU,NA,NA
renault,scenic,98118,2007,1870,96,other,M,4,5,,5945.2812,EU,NA,NA
skoda,yeti,11941.83,2012,1197,77,,M,4,5,gasoline,11772.4428,EU,NA,NA
skoda,fabia,92434.608,2004,1400,55,compact,M,None,NA,gasoline,3397.4856000000004,EU,NA,NA
volkswagen,golf,0,2016,1598,81,other,M,5,5,,23220,EU,NA,NA
volkswagen,golf,8742.438,2015,1197,63,other,M,4,5,,18219.600000000002,EU,NA,NA
skoda,fabia,95013,2011,1596,66,,M,5,5,diesel,7154.6976,EU,NA,NA
fiat,punto,80730,2013,1242,51,other,M,3,5,,4796.442,EU,NA,NA
peugeot,307,91448.46,2001,2000,66,other,M,5,5,,7394.5224,EU,NA,NA
audi,s3,106191,2000,1781,154,other,M,3,5,,7992.000000000001,EU,NA,NA
citroen,c3,32913,2010,1360,54,other,M,5,5,,9180,EU,NA,NA
skoda,octavia,96912.018,2012,2000,103,other,M,5,5,,1398.9672,EU,NA,NA
volkswagen,polo,22665.258,2014,1422,66,other,M,4,5,,14999.04,EU,NA,NA
nissan,x-trail,112757.454,2003,2184,84,other,M,5,5,,1398.9672,EU,NA,NA
volkswagen,polo,32913,2009,1198,44,other,M,5,5,,8046.000000000001,EU,NA,NA
seat,leon,11340.081,2015,1598,77,other,M,5,5,,16092.000000000002,EU,NA,NA
volkswagen,golf,74520,2007,1595,75,other,M,4,5,,8629.2,EU,NA,NA
opel,astra,3437.8559999999998,2015,1364,88,other,M,4,5,,15069.639600000002,EU,NA,NA
volkswagen,scirocco,57132,2010,1968,103,other,M,3,4,,19332,EU,NA,NA
smart,fortwo,5078.538,2014,999,52,other,M,2,NA,,11772,EU,NA,NA
opel,insignia,89424,2012,1956,118,other,A,5,5,,12852,EU,NA,NA
ford,kuga,3415.5,2015,1997,110,,M,4,5,diesel,22593.1896,EU,NA,NA
hyundai,i20,931.5,2015,1248,55,,M,4,NA,gasoline,11777.238000000001,EU,NA,NA
skoda,octavia,50114.7,2012,1598,77,other,M,5,5,,12852,EU,NA,NA
mazda,cx-3,31.05,2015,1998,110,,M,4,5,gasoline,27004.2012,EU,NA,NA
subaru,impreza,80730,2004,1994,165,,M,4,5,gasoline,11880,EU,NA,NA
skoda,fabia,81351,2011,1197,63,other,M,,NA,,1398.9672,EU,NA,NA
ford,c-max,86940,2003,1798,88,,M,4,5,gasoline,4268.678400000001,EU,NA,NA
