make,model,mileage_mi,manufacture_year,engine_displacement,engine_power,body_type,transmission,door_count,seat_count,fuel_type,priceUSD,country,exterior_color,city
seat,leon,80730,2006,1984,136,,M,5,5,gasoline,5396.004000000001,EU,NA,NA
renault,twingo,62.1,2016,999,52,other,M,4,4,,8755.754400000002,EU,NA,NA
fiat,croma,58898.745,2010,1910,110,other,M,5,5,,9396,EU,NA,NA
fiat,punto,3912.3,2014,1242,51,,M,2,5,gasoline,8162.1108,EU,NA,NA
skoda,fabia,31.05,2016,1197,66,other,M,4,5,,18252,EU,NA,NA
mercedes-benz,viano,64894.5,2012,2143,120,,A,4,7,diesel,23606.391600000003,EU,NA,NA
skoda,octavia,52390.044,2005,1896,77,stationwagon,M,5,5,diesel,1398.9672,EU,NA,NA
seat,ibiza,198720,2002,1896,47,other,M,5,5,,3132,EU,NA,NA
mini,cooper,22604.4,2010,1598,90,other,M,4,NA,,17272.645200000003,EU,NA,NA
opel,mokka,1242,2015,1364,103,,M,4,5,gasoline,19695.2472,EU,NA,NA
seat,leon,171005.391,2000,1896,81,other,M,5,5,,1998.0000000000002,EU,NA,NA
volkswagen,passat,106404.624,2007,2000,103,stationwagon,M,5,5,diesel,1398.9672,EU,NA,NA
mazda,mx-5,73278,2002,1598,81,,M,2,2,gasoline,3358.9512,EU,NA,NA
opel,astra,0,2016,1598,81,stationwagon,M,5,5,,1398.9672,EU,NA,NA
skoda,octavia,163075.221,2010,1896,77,other,M,5,5,,9189.1908,EU,NA,NA
fiat,panda,43470,2009,1242,44,,M,4,4,gasoline,3771.4464000000003,EU,NA,NA
mazda,2,29488.806,2007,1388,59,other,M,4,5,,5069.682,EU,NA,NA
suzuki,grand-vitara,65183.265,2007,1870,95,,M,4,5,diesel,10793.6064,EU,NA,NA
ford,transit,102465,2007,2198,81,,M,4,NA,diesel,8644.039200000001,EU,NA,NA
opel,astra,16990.56,2009,1598,85,,M,4,NA,gasoline,7553.401200000001,EU,NA,NA
volkswagen,touran,9439.2,2014,1598,77,other,M,4,7,,20494.782000000003,EU,NA,NA
ford,fiesta,28118.88,2010,1242,60,other,M,5,5,,8532,EU,NA,NA
opel,corsa,9328.041,2011,1229,51,other,M,4,5,,6354.2556,EU,NA,NA
opel,adam,4719.6,2015,1229,51,,M,None,4,gasoline,15769.760400000001,EU,NA,NA
ford,galaxy,84393.9,2010,1997,103,other,M,,5,,12969.795600000001,EU,NA,NA
skoda,octavia,14196.06,2015,1968,110,other,A,5,5,,1398.9672,EU,NA,NA
volvo,v70,16146,2015,1969,133,other,A,5,5,,35046,EU,NA,NA
jeep,compass,55517.4,2012,2143,120,other,M,5,5,,18252,EU,NA,NA
volkswagen,golf-sportsvan,470.097,2015,1968,110,other,A,5,5,,31308.120000000003,EU,NA,NA
skoda,octavia,122958,2010,1598,77,other,M,,NA,,1398.9672,EU,NA,NA
volkswagen,golf,136620,1995,1391,44,other,M,4,5,,1069.5672000000002,EU,NA,NA
citroen,jumper,60112.8,2012,2198,88,other,M,4,3,,15120.000000000002,EU,NA,NA
jaguar,s-type,93150,2007,2720,152,other,A,4,5,,1398.9672,EU,NA,NA
skoda,superb,73899,2010,2000,103,compact,A,None,NA,gasoline,13509.990000000002,EU,NA,NA
volkswagen,golf,11736.9,2013,1968,110,other,A,4,5,,26108.179200000002,EU,NA,NA
opel,astra,24769.206,2012,1598,85,other,M,4,5,,13954.183200000001,EU,NA,NA
citroen,c8,93804.534,2011,1997,100,other,M,5,5,,9061.2,EU,NA,NA
toyota,verso,14593.5,2012,1998,93,,M,None,5,diesel,15111.4464,EU,NA,NA
volkswagen,golf,8674.128,2015,1197,77,coupe,M,5,5,gasoline,1398.9672,EU,NA,NA
ford,galaxy,74520,2000,2295,107,,A,4,5,gasoline,2160.1188,EU,NA,NA
skoda,yeti,14593.5,2014,1798,112,,A,4,5,gasoline,24626.7216,EU,NA,NA
skoda,octavia,14417.136,2015,1968,110,other,M,5,5,,1398.9672,EU,NA,NA
toyota,auris,171255.654,2008,1998,93,,M,4,5,diesel,5832.4428,EU,NA,NA
skoda,octavia,83901.447,2012,1598,77,compact,M,None,NA,diesel,9552.923999999999,EU,NA,NA
porsche,911,23671.278,2012,3800,283,,A,2,4,gasoline,67118.5224,EU,NA,NA
honda,fr-v,114613.002,2005,1668,92,,M,5,6,gasoline,4592.602800000001,EU,NA,NA
subaru,legacy,94950.9,2009,1998,111,other,M,5,5,,11178,EU,NA,NA
audi,s5,68682.6,2008,4163,260,,M,2,4,gasoline,25112.7972,EU,NA,NA
renault,clio,1242,2015,1149,54,other,M,5,5,,14893.2,EU,NA,NA
volkswagen,passat,110673.378,2007,2000,125,other,A,5,5,,1398.9672,EU,NA,NA
